sample_id,config,accurate,latency,cost,tree_cost,has_tree
multihop-326,A1,0.0,21.869613885879517,0.00019271999999999998,0.0,0
multihop-327,A1,1.0,3.1750969886779785,0.00016151999999999998,0.0,0
multihop-328,A1,1.0,2.0065410137176514,0.00018354,0.0,0
multihop-329,A1,1.0,3.01755690574646,0.00018846,0.0,0
multihop-330,A1,0.0,2.7441599369049072,0.00020202,0.0,0
multihop-331,A1,1.0,1.4840760231018066,0.0001986,0.0,0
multihop-332,A1,1.0,0.9943618774414062,0.00015623999999999998,0.0,0
multihop-333,A1,0.0,26.785564184188843,0.00018474,0.0,0
multihop-334,A1,0.0,4.8124840259552,0.00017298000000000001,0.0,0
multihop-335,A1,1.0,1.4707551002502441,0.00020969999999999997,0.0,0
multihop-336,A1,1.0,1.6732051372528076,0.00018594,0.0,0
multihop-337,A1,0.0,0.8116049766540527,0.00021408,0.0,0
multihop-338,A1,1.0,3.0470728874206543,0.0002016,0.0,0
multihop-339,A1,0.0,2.9556710720062256,0.00019187999999999999,0.0,0
multihop-340,A1,1.0,19.519572973251343,0.00013962,0.0,0
multihop-341,A1,1.0,1.9715073108673096,0.00017933999999999997,0.0,0
multihop-342,A1,0.0,2.1665358543395996,8.885999999999999e-05,0.0,0
multihop-343,A1,1.0,10.765878200531006,0.00021954,0.0,0
multihop-344,A1,0.0,2.0526440143585205,0.00019146,0.0,0
multihop-345,A1,0.0,2.865283966064453,0.00017532,0.0,0
multihop-346,A1,1.0,17.686973094940186,0.00019566,0.0,0
multihop-347,A1,1.0,10.741675853729248,0.0002187,0.0,0
multihop-348,A1,1.0,2.6432712078094482,0.00017778,0.0,0
multihop-349,A1,1.0,1.6682701110839844,0.00018503999999999998,0.0,0
multihop-350,A1,0.0,7.841722011566162,0.0002007,0.0,0
multihop-351,A1,1.0,12.981505155563354,0.00021882,0.0,0
multihop-352,A1,0.0,7.677340269088745,0.00018167999999999998,0.0,0
multihop-353,A1,1.0,3.169780969619751,0.00023135999999999998,0.0,0
multihop-354,A1,1.0,6.290694952011108,0.00015936,0.0,0
multihop-355,A1,0.0,15.798979759216309,0.00019079999999999998,0.0,0
multihop-356,A1,0.0,2.271928071975708,0.00017772,0.0,0
multihop-357,A1,0.0,16.322004079818726,0.00017736,0.0,0
multihop-358,A1,1.0,2.9064059257507324,0.00021251999999999998,0.0,0
multihop-359,A1,0.0,13.335510730743408,0.00020423999999999998,0.0,0
multihop-360,A1,0.0,2.934842109680176,0.00020537999999999996,0.0,0
multihop-361,A1,1.0,0.8099379539489746,0.0001602,0.0,0
multihop-362,A1,1.0,1.9721779823303223,0.00016806,0.0,0
multihop-363,A1,0.0,6.599559783935547,0.00022236,0.0,0
multihop-364,A1,1.0,1.6368930339813232,0.00018312,0.0,0
multihop-365,A1,1.0,1.5879030227661133,0.00021234,0.0,0
multihop-366,A1,0.0,1.0503289699554443,0.00023808,0.0,0
multihop-367,A1,1.0,4.962504863739014,0.00019638,0.0,0
multihop-368,A1,0.0,11.15887713432312,0.00017934,0.0,0
multihop-369,A1,0.0,3.6771740913391113,0.00021768,0.0,0
multihop-370,A1,0.0,3.1230437755584717,0.00019889999999999998,0.0,0
multihop-371,A1,1.0,2.14644193649292,0.00016344,0.0,0
multihop-372,A1,1.0,0.8942689895629883,0.00022103999999999998,0.0,0
multihop-373,A1,0.0,4.297128915786743,0.00020766,0.0,0
multihop-374,A1,0.0,1.6645209789276123,0.00018197999999999996,0.0,0
multihop-375,A1,1.0,4.104691028594971,0.00019812,0.0,0
multihop-376,A1,0.0,37.31503486633301,0.00024587999999999997,0.0,0
multihop-377,A1,0.0,17.84112524986267,0.00020735999999999997,0.0,0
multihop-378,A1,0.0,1.7701399326324463,0.00017292,0.0,0
multihop-379,A1,1.0,0.7868659496307373,0.00020946,0.0,0
multihop-380,A1,0.0,13.587337017059326,0.0001989,0.0,0
multihop-381,A1,0.0,5.1215832233428955,0.00022799999999999999,0.0,0
multihop-382,A1,1.0,3.940016031265259,0.000204,0.0,0
multihop-383,A1,1.0,12.948442220687866,0.00018491999999999998,0.0,0
multihop-384,A1,1.0,17.076406002044678,0.00014196,0.0,0
multihop-385,A1,0.0,3.8902831077575684,0.00021636,0.0,0
multihop-386,A1,1.0,5.452792167663574,0.00015287999999999999,0.0,0
multihop-387,A1,1.0,1.5105679035186768,0.00020057999999999998,0.0,0
multihop-388,A1,0.0,13.263217210769653,0.00017711999999999998,0.0,0
multihop-389,A1,1.0,16.201833963394165,0.00019704,0.0,0
multihop-390,A1,0.0,2.51485013961792,0.00021912,0.0,0
multihop-391,A1,0.0,2.340327024459839,0.00017315999999999998,0.0,0
multihop-392,A1,0.0,1.3472568988800049,0.00024587999999999997,0.0,0
